instrument,ts,bid,ask,mid
EUR_USD,1768902910.0,1.17236,1.17253,1.17245
EUR_USD,1768902915.0,1.17233,1.17250,1.17241
EUR_USD,1768902920.0,1.17234,1.17250,1.17242
EUR_USD,1768902925.0,1.17231,1.17246,1.17239
EUR_USD,1768902930.0,1.17229,1.17247,1.17238
EUR_USD,1768902935.0,1.17229,1.17246,1.17238
EUR_USD,1768902940.0,1.17231,1.17248,1.17239
EUR_USD,1768902945.0,1.17225,1.17242,1.17233
EUR_USD,1768902950.0,1.17228,1.17246,1.17237
EUR_USD,1768902955.0,1.17230,1.17247,1.17238
EUR_USD,1768902960.0,1.17231,1.17248,1.17239
EUR_USD,1768902965.0,1.17234,1.17250,1.17242
EUR_USD,1768902970.0,1.17236,1.17252,1.17244
EUR_USD,1768902975.0,1.17235,1.17251,1.17243
EUR_USD,1768902980.0,1.17245,1.17260,1.17253
EUR_USD,1768902985.0,1.17246,1.17260,1.17253
EUR_USD,1768902990.0,1.17244,1.17260,1.17252
EUR_USD,1768902995.0,1.17245,1.17262,1.17253
EUR_USD,1768903000.0,1.17245,1.17262,1.17253
EUR_USD,1768903005.0,1.17247,1.17263,1.17255
EUR_USD,1768903010.0,1.17249,1.17264,1.17257
EUR_USD,1768903015.0,1.17249,1.17266,1.17258
EUR_USD,1768903020.0,1.17252,1.17270,1.17261
EUR_USD,1768903025.0,1.17256,1.17273,1.17265
EUR_USD,1768903030.0,1.17254,1.17271,1.17263
EUR_USD,1768903035.0,1.17251,1.17267,1.17259
EUR_USD,1768903040.0,1.17252,1.17269,1.17260
EUR_USD,1768903045.0,1.17252,1.17268,1.17260
EUR_USD,1768903050.0,1.17248,1.17264,1.17256
EUR_USD,1768903055.0,1.17242,1.17259,1.17251
EUR_USD,1768903060.0,1.17241,1.17258,1.17250
EUR_USD,1768903065.0,1.17241,1.17257,1.17249
EUR_USD,1768903070.0,1.17239,1.17255,1.17247
EUR_USD,1768903075.0,1.17239,1.17255,1.17247
EUR_USD,1768903080.0,1.17241,1.17256,1.17248
EUR_USD,1768903085.0,1.17241,1.17256,1.17248
EUR_USD,1768903090.0,1.17239,1.17255,1.17247
EUR_USD,1768903095.0,1.17238,1.17254,1.17246
EUR_USD,1768903100.0,1.17248,1.17264,1.17256
EUR_USD,1768903105.0,1.17248,1.17263,1.17256
EUR_USD,1768903110.0,1.17252,1.17268,1.17260
EUR_USD,1768903115.0,1.17253,1.17268,1.17260
EUR_USD,1768903120.0,1.17253,1.17268,1.17260
EUR_USD,1768903125.0,1.17253,1.17268,1.17260
EUR_USD,1768903130.0,1.17249,1.17264,1.17257
EUR_USD,1768903135.0,1.17249,1.17264,1.17257
EUR_USD,1768903140.0,1.17249,1.17265,1.17257
EUR_USD,1768903145.0,1.17249,1.17264,1.17257
EUR_USD,1768903150.0,1.17248,1.17264,1.17256
EUR_USD,1768903155.0,1.17248,1.17262,1.17255
EUR_USD,1768903160.0,1.17246,1.17262,1.17254
EUR_USD,1768903165.0,1.17246,1.17262,1.17254
EUR_USD,1768903170.0,1.17251,1.17267,1.17259
EUR_USD,1768903175.0,1.17251,1.17267,1.17259
EUR_USD,1768903180.0,1.17254,1.17270,1.17262
EUR_USD,1768903185.0,1.17253,1.17269,1.17261
EUR_USD,1768903190.0,1.17251,1.17267,1.17259
EUR_USD,1768903195.0,1.17253,1.17271,1.17262
EUR_USD,1768903200.0,1.17277,1.17296,1.17287
EUR_USD,1768903205.0,1.17268,1.17286,1.17277
EUR_USD,1768903210.0,1.17290,1.17306,1.17298
EUR_USD,1768903215.0,1.17277,1.17295,1.17286
EUR_USD,1768903220.0,1.17274,1.17290,1.17282
EUR_USD,1768903225.0,1.17275,1.17290,1.17283
EUR_USD,1768903230.0,1.17275,1.17292,1.17284
EUR_USD,1768903235.0,1.17272,1.17286,1.17279
EUR_USD,1768903240.0,1.17275,1.17289,1.17282
EUR_USD,1768903245.0,1.17286,1.17301,1.17294
EUR_USD,1768903250.0,1.17283,1.17299,1.17291
EUR_USD,1768903255.0,1.17282,1.17299,1.17291
EUR_USD,1768903260.0,1.17280,1.17294,1.17287
EUR_USD,1768903265.0,1.17285,1.17300,1.17292
EUR_USD,1768903270.0,1.17278,1.17295,1.17286
EUR_USD,1768903275.0,1.17286,1.17302,1.17294
EUR_USD,1768903280.0,1.17289,1.17305,1.17297
EUR_USD,1768903285.0,1.17289,1.17306,1.17298
EUR_USD,1768903290.0,1.17291,1.17309,1.17300
EUR_USD,1768903295.0,1.17288,1.17304,1.17296
EUR_USD,1768903300.0,1.17280,1.17298,1.17289
EUR_USD,1768903305.0,1.17276,1.17293,1.17285
EUR_USD,1768903310.0,1.17280,1.17297,1.17288
EUR_USD,1768903315.0,1.17270,1.17288,1.17279
EUR_USD,1768903320.0,1.17271,1.17288,1.17279
EUR_USD,1768903325.0,1.17276,1.17293,1.17285
