instrument,ts,bid,ask,mid
EUR_USD,1769702980.0,1.19337,1.19353,1.19345
EUR_USD,1769702985.0,1.19348,1.19362,1.19355
EUR_USD,1769702990.0,1.19339,1.19353,1.19346
EUR_USD,1769702995.0,1.19342,1.19356,1.19349
EUR_USD,1769703000.0,1.19320,1.19334,1.19327
EUR_USD,1769703005.0,1.19317,1.19331,1.19324
EUR_USD,1769703010.0,1.19315,1.19330,1.19322
EUR_USD,1769703015.0,1.19316,1.19331,1.19324
EUR_USD,1769703020.0,1.19335,1.19351,1.19343
EUR_USD,1769703025.0,1.19340,1.19356,1.19348
EUR_USD,1769703030.0,1.19339,1.19354,1.19346
EUR_USD,1769703035.0,1.19341,1.19357,1.19349
EUR_USD,1769703040.0,1.19344,1.19360,1.19352
EUR_USD,1769703045.0,1.19330,1.19347,1.19339
EUR_USD,1769703050.0,1.19336,1.19352,1.19344
EUR_USD,1769703055.0,1.19337,1.19352,1.19345
EUR_USD,1769703060.0,1.19336,1.19350,1.19343
EUR_USD,1769703065.0,1.19348,1.19363,1.19355
EUR_USD,1769703070.0,1.19353,1.19369,1.19361
EUR_USD,1769703075.0,1.19355,1.19369,1.19362
EUR_USD,1769703080.0,1.19358,1.19373,1.19366
EUR_USD,1769703085.0,1.19367,1.19382,1.19375
EUR_USD,1769703090.0,1.19368,1.19385,1.19376
EUR_USD,1769703095.0,1.19367,1.19382,1.19375
EUR_USD,1769703100.0,1.19374,1.19390,1.19382
EUR_USD,1769703105.0,1.19365,1.19381,1.19373
EUR_USD,1769703110.0,1.19366,1.19384,1.19375
EUR_USD,1769703115.0,1.19368,1.19384,1.19376
EUR_USD,1769703120.0,1.19373,1.19388,1.19381
EUR_USD,1769703125.0,1.19377,1.19393,1.19385
EUR_USD,1769703130.0,1.19378,1.19393,1.19386
EUR_USD,1769703135.0,1.19370,1.19387,1.19379
EUR_USD,1769703140.0,1.19367,1.19383,1.19375
EUR_USD,1769703145.0,1.19357,1.19374,1.19366
EUR_USD,1769703150.0,1.19341,1.19357,1.19349
EUR_USD,1769703155.0,1.19343,1.19359,1.19351
EUR_USD,1769703160.0,1.19347,1.19363,1.19355
EUR_USD,1769703165.0,1.19352,1.19367,1.19359
EUR_USD,1769703170.0,1.19353,1.19369,1.19361
EUR_USD,1769703175.0,1.19347,1.19363,1.19355
EUR_USD,1769703180.0,1.19354,1.19370,1.19362
EUR_USD,1769703185.0,1.19346,1.19362,1.19354
EUR_USD,1769703190.0,1.19354,1.19370,1.19362
EUR_USD,1769703195.0,1.19353,1.19369,1.19361
EUR_USD,1769703200.0,1.19357,1.19372,1.19365
EUR_USD,1769703205.0,1.19349,1.19363,1.19356
EUR_USD,1769703210.0,1.19349,1.19364,1.19356
EUR_USD,1769703215.0,1.19331,1.19348,1.19340
EUR_USD,1769703220.0,1.19340,1.19355,1.19348
EUR_USD,1769703225.0,1.19341,1.19357,1.19349
EUR_USD,1769703230.0,1.19337,1.19353,1.19345
EUR_USD,1769703235.0,1.19334,1.19349,1.19341
