instrument,ts,bid,ask,mid
EUR_USD,1769539840.0,1.19794,1.19811,1.19802
EUR_USD,1769539845.0,1.19793,1.19809,1.19801
EUR_USD,1769539850.0,1.19798,1.19815,1.19807
EUR_USD,1769539855.0,1.19801,1.19817,1.19809
EUR_USD,1769539860.0,1.19799,1.19816,1.19808
EUR_USD,1769539865.0,1.19798,1.19815,1.19807
EUR_USD,1769539870.0,1.19798,1.19815,1.19807
EUR_USD,1769539875.0,1.19799,1.19815,1.19807
EUR_USD,1769539880.0,1.19800,1.19817,1.19808
EUR_USD,1769539885.0,1.19799,1.19816,1.19808
EUR_USD,1769539890.0,1.19802,1.19818,1.19810
EUR_USD,1769539895.0,1.19804,1.19820,1.19812
EUR_USD,1769539900.0,1.19803,1.19819,1.19811
EUR_USD,1769539905.0,1.19804,1.19821,1.19813
EUR_USD,1769539910.0,1.19804,1.19820,1.19812
