valid,tau,mfe,mae,speed,early_impulse,efficiency,risk_ratio,extension,drawdown_ratio,direction,timestamp_start,opportunity_id,composite_score,rank
True,2,2.6999999999999247,0.0,1.25,1.0,1.0,269.99999999999244,1.0799999999999699,0.0,SHORT,2024-01-15T11:32:00.000000000Z,2024-01-15T11:32:00.000000000Z_SHORT,0.5522980164489351,51
True,2,2.6999999999999247,0.0,1.25,1.0,1.0,269.99999999999244,1.0799999999999699,0.0,SHORT,2024-01-15T14:05:00.000000000Z,2024-01-15T14:05:00.000000000Z_SHORT,0.5522980164489351,52
True,3,4.599999999999049,0.0,0.8333333333333334,1.0,1.0,459.9999999999049,1.8399999999996197,0.0,LONG,2024-01-15T15:47:00.000000000Z,2024-01-15T15:47:00.000000000Z_LONG,0.5500725689404322,53
True,2,2.60000000000149,0.0,1.25,1.0,1.0,260.000000000149,1.040000000000596,0.0,LONG,2024-01-15T11:35:00.000000000Z,2024-01-15T11:35:00.000000000Z_LONG,0.5497339138848734,54
True,2,2.5999999999992696,0.0,1.25,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,SHORT,2024-01-15T11:50:00.000000000Z,2024-01-15T11:50:00.000000000Z_SHORT,0.5497339138848164,55
True,2,2.5999999999992696,0.0,1.25,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,SHORT,2024-01-15T12:21:00.000000000Z,2024-01-15T12:21:00.000000000Z_SHORT,0.5497339138848164,56
True,2,2.5999999999992696,0.0,1.25,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,SHORT,2024-01-15T12:43:00.000000000Z,2024-01-15T12:43:00.000000000Z_SHORT,0.5497339138848164,57
True,2,2.5999999999992696,0.0,1.25,1.0,1.0,259.99999999992696,1.0399999999997078,0.0,LONG,2024-01-15T13:28:00.000000000Z,2024-01-15T13:28:00.000000000Z_LONG,0.5497339138848164,58
True,2,2.500000000000835,0.0,1.25,1.0,1.0,250.00000000008347,1.000000000000334,0.0,SHORT,2024-01-15T09:45:00.000000000Z,2024-01-15T09:45:00.000000000Z_SHORT,0.5471698113207547,59
True,2,2.500000000000835,0.0,1.25,1.0,1.0,250.00000000008347,1.000000000000334,0.0,SHORT,2024-01-15T10:02:00.000000000Z,2024-01-15T10:02:00.000000000Z_SHORT,0.5471698113207547,60
True,2,2.500000000000835,0.0,1.25,1.0,1.0,250.00000000008347,1.000000000000334,0.0,SHORT,2024-01-15T15:09:00.000000000Z,2024-01-15T15:09:00.000000000Z_SHORT,0.5471698113207547,61
True,2,2.500000000000835,0.0,1.25,1.0,1.0,250.00000000008347,1.000000000000334,0.0,LONG,2024-01-15T16:26:00.000000000Z,2024-01-15T16:26:00.000000000Z_LONG,0.5471698113207547,62
True,3,4.3999999999999595,0.0,0.8333333333333334,1.0,1.0,439.99999999999596,1.7599999999999838,0.0,SHORT,2024-01-15T08:59:00.000000000Z,2024-01-15T08:59:00.000000000Z_SHORT,0.5449443638122519,63
True,3,4.3999999999999595,0.0,0.8333333333333334,1.0,1.0,439.99999999999596,1.7599999999999838,0.0,SHORT,2024-01-15T13:06:00.000000000Z,2024-01-15T13:06:00.000000000Z_SHORT,0.5449443638122519,64
True,3,4.299999999999304,0.0,0.8333333333333334,1.0,1.0,429.9999999999304,1.7199999999997218,0.0,SHORT,2024-01-15T09:32:00.000000000Z,2024-01-15T09:32:00.000000000Z_SHORT,0.5423802612481332,65
True,3,4.199999999998649,0.0,0.8333333333333334,1.0,1.0,419.99999999986494,1.6799999999994597,0.0,SHORT,2024-01-15T12:54:00.000000000Z,2024-01-15T12:54:00.000000000Z_SHORT,0.5398161586840146,66
True,4,4.699999999999704,0.0,0.625,1.0,1.0,469.99999999997044,1.8799999999998818,0.0,SHORT,2024-01-15T09:31:00.000000000Z,2024-01-15T09:31:00.000000000Z_SHORT,0.5271649733913433,67
True,3,3.6999999999998145,0.0,0.8333333333333334,1.0,1.0,369.99999999998147,1.4799999999999258,0.0,LONG,2024-01-15T10:48:00.000000000Z,2024-01-15T10:48:00.000000000Z_LONG,0.5269956458635353,68
True,4,4.599999999999049,0.0,0.625,1.0,1.0,459.9999999999049,1.8399999999996197,0.0,SHORT,2024-01-15T08:58:00.000000000Z,2024-01-15T08:58:00.000000000Z_SHORT,0.5246008708272246,69
True,3,3.60000000000138,0.0,0.8333333333333334,1.0,1.0,360.00000000013796,1.440000000000552,0.0,SHORT,2024-01-15T10:01:00.000000000Z,2024-01-15T10:01:00.000000000Z_SHORT,0.5244315432994737,70
True,3,3.5000000000007248,0.0,0.8333333333333334,1.0,1.0,350.0000000000725,1.40000000000029,0.0,LONG,2024-01-15T08:08:00.000000000Z,2024-01-15T08:08:00.000000000Z_LONG,0.5218674407353551,71
True,3,3.5000000000007248,0.0,0.8333333333333334,1.0,1.0,350.0000000000725,1.40000000000029,0.0,LONG,2024-01-15T11:54:00.000000000Z,2024-01-15T11:54:00.000000000Z_LONG,0.5218674407353551,72
True,3,3.4000000000000696,0.0,0.8333333333333334,1.0,1.0,340.00000000000693,1.3600000000000279,0.0,LONG,2024-01-15T08:00:00.000000000Z,2024-01-15T08:00:00.000000000Z_LONG,0.5193033381712364,73
True,3,3.4000000000000696,0.0,0.8333333333333334,1.0,1.0,340.00000000000693,1.3600000000000279,0.0,SHORT,2024-01-15T13:05:00.000000000Z,2024-01-15T13:05:00.000000000Z_SHORT,0.5193033381712364,74
True,3,3.4000000000000696,0.0,0.8333333333333334,1.0,1.0,340.00000000000693,1.3600000000000279,0.0,LONG,2024-01-15T14:21:00.000000000Z,2024-01-15T14:21:00.000000000Z_LONG,0.5193033381712364,75
True,3,3.300000000001635,0.0,0.8333333333333334,1.0,1.0,330.0000000001635,1.320000000000654,0.0,SHORT,2024-01-15T16:29:00.000000000Z,2024-01-15T16:29:00.000000000Z_SHORT,0.5167392356071747,76
